Img_Name,Tx,Ty,Tz,Rx,Ry,Rz
img__1.png,0.023133,-0.004603,0.311066,2.999006868,0.253257354,-0.642874664
img__2.png,0.023133,-0.004603,0.311066,2.999006868,0.253257354,-0.642874664
img__3.png,0.00758,-0.022335,0.311066,-2.651095424,1.245984271,0.589831395
img__4.png,-0.015553,-0.017732,0.311066,-1.590594659,2.286264794,0.376429787
img__5.png,-0.023133,0.004603,0.311066,-0.22883717,2.709829487,0.089040934
img__6.png,-0.00758,0.022335,0.311066,1.164178042,2.477035346,-0.214703447
img__7.png,0.015553,0.017732,0.311066,2.328478297,1.619963336,-0.478284667
img__8.png,-0.018,-0.031618,0.30983,-3.088248104,-0.277778635,0.439265312
img__9.png,-0.036381,-0.000221,0.30983,-2.695896027,1.249121526,0.357087621
img__10.png,-0.018382,0.031397,0.30983,-1.661491947,2.360581453,0.191951554
img__11.png,0.018,0.031618,0.30983,-0.25622315,2.848601572,-0.014323778
img__12.png,0.036381,0.000221,0.30983,1.217024823,2.626623846,-0.217608032
img__13.png,0.018382,-0.031397,0.30983,2.442220598,1.718953546,-0.373881917
img__14.png,0.022005,-0.026071,0.310088,-3.059713901,-0.280304018,0.640433477
img__15.png,-0.011576,-0.032092,0.310088,-2.622624453,1.209917148,0.519134386
img__16.png,-0.033581,-0.006021,0.310088,-1.598151897,2.26264563,0.284989033
img__17.png,-0.022005,0.026071,0.310088,-0.24911008,2.719210305,-0.004225989
img__18.png,0.011576,0.032092,0.310088,1.161395125,2.517447793,-0.292657227
img__19.png,0.033581,0.006021,0.310088,2.362732988,1.668845601,-0.524404128
img__20.png,-0.013022,-0.008565,0.31157,3.033428649,0.256943592,-0.46633497
img__21.png,-0.013928,0.006995,0.31157,-2.725172723,1.279951271,0.446481208
img__22.png,-0.000906,0.01556,0.31157,-1.653551481,2.375465226,0.300050518
img__23.png,0.013022,0.008565,0.31157,-0.239392905,2.826228485,0.088680939
img__24.png,0.013928,-0.006995,0.31157,1.2090555,2.574226958,-0.140820886
img__25.png,0.000906,-0.01556,0.31157,2.393655678,1.666213779,-0.341309194
img__26.png,0.009541,-0.029567,0.310408,-3.064608898,-0.280611423,0.576111066
img__27.png,-0.020835,-0.023046,0.310408,-2.643452996,1.219672365,0.464062258
img__28.png,-0.030376,0.00652,0.310408,-1.618183237,2.291228472,0.249334099
img__29.png,-0.009541,0.029567,0.310408,-0.252709321,2.759884914,-0.015088112
img__30.png,0.020835,0.023046,0.310408,1.178662658,2.554570739,-0.276603922
