Img_Name,Tx,Ty,Tz,Rx,Ry,Rz
img__1.png,0.023133,-0.004603,0.311066,2.999006868,0.253257354,-0.642874664
img__2.png,0.023133,-0.004603,0.311066,2.999006868,0.253257354,-0.642874664
img__3.png,-0.018,-0.031618,0.30983,-3.088248104,-0.277778635,0.439265312
img__4.png,0.022005,-0.026071,0.310088,-3.059713901,-0.280304018,0.640433477
img__5.png,-0.013022,-0.008565,0.31157,3.033428649,0.256943592,-0.46633497
img__6.png,0.017869,-0.013661,0.318936,1.900549986,-1.444546045,-0.939712327
img__7.png,-0.00704,0.02726,0.318486,1.857311868,-1.519645902,-0.764254017
img__8.png,-0.015373,-0.025542,0.318335,1.989655708,-1.519814827,-0.896358109
img__9.png,-0.00461,0.014641,0.319359,1.881076524,-1.50989767,-0.805918153
img__10.png,0.026391,0.003057,0.320148,2.400480519,-0.059951376,-0.844894896
img__11.png,0.011484,-0.009765,0.320895,1.371252537,1.934598019,0.232222142
img__12.png,0.020033,-0.028222,0.319379,2.498110864,0.000310443,-0.830789539
img__13.png,0.005214,-0.010492,0.321035,1.355914443,1.926126887,0.252480827
img__14.png,-0.010981,-0.02547,0.211755,-0.828013859,2.331997005,1.620178623
img__15.png,0.0002,0.019896,0.212635,1.863933936,-1.324840479,-1.085604213
img__16.png,-0.011482,-0.030291,0.211093,2.058107315,-1.31473549,-1.267167049
img__17.png,-0.003216,0.012683,0.213163,1.898209781,-1.330639509,-1.10475426
img__18.png,-0.008092,0.016321,0.290405,1.63755942,2.061088384,0.372156391
img__19.png,0.02034,-0.025547,0.289137,1.780533571,2.141865971,0.455135509
img__20.png,0.022807,0.024825,0.289016,1.693957673,2.111830552,0.251403589
img__21.png,0.006952,-0.0144,0.290536,1.73008791,2.107459691,0.448497589
img__22.png,0.008355,0.02894,0.291504,1.545009173,1.21905749,-0.658729378
img__23.png,-0.006807,0.011224,0.292762,0.059574654,2.028020365,0.487378756
img__24.png,-0.014485,0.031093,0.291042,0.016854758,2.016154592,0.413787117
img__25.png,0.005036,0.000586,0.293012,0.077926802,2.060739983,0.535749324
img__26.png,0.027438,-0.00221,0.250612,2.716811723,0.140309965,-1.027343568
img__27.png,-0.010062,-0.025078,0.250667,2.8548928,0.199259254,-0.824949411
img__28.png,0.019853,-0.027559,0.249821,2.819749617,0.201368757,-1.002327354
img__29.png,-0.010823,-0.006153,0.251812,2.786427633,0.162035836,-0.810809937
img__30.png,0.023393,-0.009284,0.3164,1.583545997,-1.283385942,-0.963111342
